ENSMUSP00000000356	ENSP00000448051
ENSMUSP00000133356	ENSP00000334002
ENSMUSP00000050336	ENSP00000367265
ENSMUSP00000086398	ENSP00000324172
ENSMUSP00000044983	ENSP00000352565
ENSMUSP00000046999	ENSP00000231121
ENSMUSP00000058813	ENSP00000375853
ENSMUSP00000132435	ENSP00000359497
ENSMUSP00000031637	ENSP00000339720
ENSMUSP00000030003	ENSP00000323046
ENSMUSP00000100041	ENSP00000368632
ENSMUSP00000113891	ENSP00000334458
ENSMUSP00000033502	ENSP00000365858
ENSMUSP00000015197	ENSP00000345681
ENSMUSP00000076589	ENSP00000314508
ENSMUSP00000015771	ENSP00000252997
ENSMUSP00000041774	ENSP00000269216
ENSMUSP00000031680	ENSP00000320566
ENSMUSP00000096209	ENSP00000334940
ENSMUSP00000043679	ENSP00000257626
ENSMUSP00000129675	ENSP00000377793
ENSMUSP00000066050	ENSP00000356489
ENSMUSP00000032749	ENSP00000327650
ENSMUSP00000091768	ENSP00000261758
ENSMUSP00000040945	ENSP00000319318
ENSMUSP00000136950	ENSP00000320543
ENSMUSP00000072087	ENSP00000308753
ENSMUSP00000099790	ENSP00000360798
ENSMUSP00000122966	ENSP00000403400
ENSMUSP00000022256	ENSP00000295901
ENSMUSP00000027626	ENSP00000285814
ENSMUSP00000067334	ENSP00000304308
ENSMUSP00000099623	ENSP00000269260
ENSMUSP00000000090	ENSP00000317780
ENSMUSP00000001042	ENSP00000355011
ENSMUSP00000002487	ENSP00000288602
ENSMUSP00000034276	ENSP00000253452
ENSMUSP00000098379	ENSP00000281928
ENSMUSP00000023589	ENSP00000265023
ENSMUSP00000058730	ENSP00000337500
ENSMUSP00000079647	ENSP00000431265
ENSMUSP00000093130	ENSP00000349393
ENSMUSP00000022921	ENSP00000428340
ENSMUSP00000111479	ENSP00000262039
ENSMUSP00000031597	ENSP00000280800
ENSMUSP00000021062	ENSP00000225792
ENSMUSP00000009340	ENSP00000357113
ENSMUSP00000029698	ENSP00000357288
ENSMUSP00000045945	ENSP00000260970
ENSMUSP00000046388	ENSP00000290231
ENSMUSP00000005234	ENSP00000427687
ENSMUSP00000031061	ENSP00000336741
ENSMUSP00000030207	ENSP00000370109
ENSMUSP00000034339	ENSP00000344115
ENSMUSP00000022601	ENSP00000368801
ENSMUSP00000085728	ENSP00000365686
ENSMUSP00000030367	ENSP00000360371
ENSMUSP00000033674	ENSP00000362935
ENSMUSP00000048363	ENSP00000326366
ENSMUSP00000005815	ENSP00000288135
ENSMUSP00000129767	ENSP00000223321
ENSMUSP00000020257	ENSP00000212015
ENSMUSP00000024897	ENSP00000345656
ENSMUSP00000031331	ENSP00000315743
ENSMUSP00000022172	ENSP00000241436
ENSMUSP00000021940	ENSP00000303366
ENSMUSP00000075167	ENSP00000361423
ENSMUSP00000110965	ENSP00000264731
ENSMUSP00000132224	ENSP00000348283
ENSMUSP00000098849	ENSP00000343925
ENSMUSP00000002177	ENSP00000387946
ENSMUSP00000021536	ENSP00000216442
ENSMUSP00000023099	ENSP00000256689
ENSMUSP00000028311	ENSP00000247668
ENSMUSP00000021706	ENSP00000376500
ENSMUSP00000042792	ENSP00000462945
ENSMUSP00000082710	ENSP00000261464
ENSMUSP00000004949	ENSP00000337853
ENSMUSP00000119465	ENSP00000357112
ENSMUSP00000040001	ENSP00000328203
ENSMUSP00000088801	ENSP00000263969
ENSMUSP00000091318	ENSP00000345494
ENSMUSP00000102987	ENSP00000345689
ENSMUSP00000032946	ENSP00000311449
ENSMUSP00000079295	ENSP00000328524
ENSMUSP00000111008	ENSP00000222120
ENSMUSP00000113401	ENSP00000355651
ENSMUSP00000004054	ENSP00000343701
ENSMUSP00000018506	ENSP00000332455
ENSMUSP00000054219	ENSP00000336571
ENSMUSP00000091799	ENSP00000378577
ENSMUSP00000025695	ENSP00000164133
ENSMUSP00000119715	ENSP00000225577
ENSMUSP00000023154	ENSP00000295522
ENSMUSP00000085030	ENSP00000321203
ENSMUSP00000032956	ENSP00000316114
ENSMUSP00000074898	ENSP00000252483
ENSMUSP00000099422	ENSP00000323967
ENSMUSP00000075289	ENSP00000357051
ENSMUSP00000037628	ENSP00000326563
ENSMUSP00000081547	ENSP00000357858
ENSMUSP00000114323	ENSP00000321805
ENSMUSP00000025183	ENSP00000363787
ENSMUSP00000056668	ENSP00000302665
ENSMUSP00000021844	ENSP00000259808
ENSMUSP00000028106	ENSP00000367316
ENSMUSP00000024599	ENSP00000349437
ENSMUSP00000024905	ENSP00000019317
ENSMUSP00000036150	ENSP00000216513
ENSMUSP00000021479	ENSP00000254286
ENSMUSP00000034138	ENSP00000314030
ENSMUSP00000031625	ENSP00000262942
ENSMUSP00000034946	ENSP00000453785
ENSMUSP00000057527	ENSP00000365735
ENSMUSP00000069956	ENSP00000249700
ENSMUSP00000028076	ENSP00000307411
ENSMUSP00000056530	ENSP00000262719
ENSMUSP00000001092	ENSP00000415836
ENSMUSP00000042457	ENSP00000330054
ENSMUSP00000073061	ENSP00000217971
ENSMUSP00000075476	ENSP00000356480
ENSMUSP00000026978	ENSP00000347858
ENSMUSP00000051990	ENSP00000371875
ENSMUSP00000027393	ENSP00000260947
ENSMUSP00000043874	ENSP00000262189
ENSMUSP00000029677	ENSP00000292176
ENSMUSP00000111222	ENSP00000306983
ENSMUSP00000033093	ENSP00000293288
ENSMUSP00000000326	ENSP00000293805
ENSMUSP00000077301	ENSP00000302936
ENSMUSP00000076393	ENSP00000257192
ENSMUSP00000101714	ENSP00000322915
ENSMUSP00000082588	ENSP00000375682
ENSMUSP00000005188	ENSP00000440273
ENSMUSP00000096982	ENSP00000419765
ENSMUSP00000023598	ENSP00000296273
ENSMUSP00000064826	ENSP00000395220
ENSMUSP00000088079	ENSP00000327890
ENSMUSP00000000776	ENSP00000261965
ENSMUSP00000021734	ENSP00000355556
ENSMUSP00000042691	ENSP00000346120
ENSMUSP00000022529	ENSP00000405455
ENSMUSP00000119369	ENSP00000355231
ENSMUSP00000117392	ENSP00000296127
ENSMUSP00000087815	ENSP00000427123
ENSMUSP00000003152	ENSP00000324856
ENSMUSP00000064205	ENSP00000338799
ENSMUSP00000046101	ENSP00000307940
ENSMUSP00000025918	ENSP00000305958
ENSMUSP00000102177	ENSP00000359095
ENSMUSP00000072481	ENSP00000365682
ENSMUSP00000029404	ENSP00000450337
ENSMUSP00000126796	ENSP00000046794
ENSMUSP00000039888	ENSP00000289269
ENSMUSP00000047251	ENSP00000358038
ENSMUSP00000118546	ENSP00000392466
ENSMUSP00000067737	ENSP00000306772
ENSMUSP00000103267	ENSP00000445175
ENSMUSP00000067341	ENSP00000378505
ENSMUSP00000035630	ENSP00000241124
ENSMUSP00000023270	ENSP00000342510
ENSMUSP00000105676	ENSP00000328103
ENSMUSP00000034567	ENSP00000280346
ENSMUSP00000087611	ENSP00000220931
ENSMUSP00000046185	ENSP00000372025
ENSMUSP00000059724	ENSP00000267569
ENSMUSP00000014421	ENSP00000351416
ENSMUSP00000089948	ENSP00000156825
ENSMUSP00000073701	ENSP00000256429
ENSMUSP00000096179	ENSP00000265517
ENSMUSP00000102095	ENSP00000354671
ENSMUSP00000031727	ENSP00000275732
ENSMUSP00000039707	ENSP00000297508
ENSMUSP00000020243	ENSP00000266744
ENSMUSP00000044866	ENSP00000216373
ENSMUSP00000067786	ENSP00000384675
ENSMUSP00000099692	ENSP00000256637
ENSMUSP00000058613	ENSP00000260197
ENSMUSP00000078070	ENSP00000322568
ENSMUSP00000039466	ENSP00000354130
ENSMUSP00000043828	ENSP00000295757
ENSMUSP00000003370	ENSP00000365012
ENSMUSP00000030407	ENSP00000380494
ENSMUSP00000043616	ENSP00000347684
ENSMUSP00000024749	ENSP00000361310
ENSMUSP00000113513	ENSP00000359573
ENSMUSP00000025196	ENSP00000364016
ENSMUSP00000008021	ENSP00000312624
ENSMUSP00000104503	ENSP00000217169
ENSMUSP00000061390	ENSP00000331305
ENSMUSP00000025404	ENSP00000320209
ENSMUSP00000052619	ENSP00000360672
ENSMUSP00000048350	ENSP00000347872
ENSMUSP00000040140	ENSP00000251047
ENSMUSP00000022706	ENSP00000367923
ENSMUSP00000125405	ENSP00000221283
ENSMUSP00000089051	ENSP00000362399
ENSMUSP00000000001	ENSP00000358867
ENSMUSP00000057543	ENSP00000312999
ENSMUSP00000096537	ENSP00000270517
ENSMUSP00000128260	ENSP00000420616
ENSMUSP00000020930	ENSP00000400717
ENSMUSP00000020340	ENSP00000300954
ENSMUSP00000047327	ENSP00000389913
ENSMUSP00000097768	ENSP00000416097
ENSMUSP00000059654	ENSP00000305785
ENSMUSP00000038909	ENSP00000312506
ENSMUSP00000039656	ENSP00000285968
ENSMUSP00000042070	ENSP00000411418
ENSMUSP00000036025	ENSP00000379678
ENSMUSP00000094750	ENSP00000391311
ENSMUSP00000020628	ENSP00000337122
ENSMUSP00000034755	ENSP00000331057
ENSMUSP00000038744	ENSP00000231487
ENSMUSP00000127995	ENSP00000347232
ENSMUSP00000099726	ENSP00000366095
ENSMUSP00000124863	ENSP00000334474
ENSMUSP00000001116	ENSP00000303758
ENSMUSP00000022629	ENSP00000309539
ENSMUSP00000124548	ENSP00000328287
ENSMUSP00000027667	ENSP00000263946
ENSMUSP00000102009	ENSP00000339740
ENSMUSP00000094966	ENSP00000291547
ENSMUSP00000125803	ENSP00000260702
ENSMUSP00000099776	ENSP00000348278
ENSMUSP00000080325	ENSP00000348215
ENSMUSP00000024783	ENSP00000230340
ENSMUSP00000021147	ENSP00000334100
ENSMUSP00000099979	ENSP00000286398
ENSMUSP00000020581	ENSP00000251287
ENSMUSP00000001536	ENSP00000346879
ENSMUSP00000107655	ENSP00000386741
ENSMUSP00000006760	ENSP00000301019
ENSMUSP00000025511	ENSP00000311028
ENSMUSP00000022545	ENSP00000371790
ENSMUSP00000081041	ENSP00000393312
ENSMUSP00000133064	ENSP00000339824
ENSMUSP00000005452	ENSP00000292408
ENSMUSP00000070588	ENSP00000357564
ENSMUSP00000101236	ENSP00000394624
ENSMUSP00000039003	ENSP00000294740
ENSMUSP00000027198	ENSP00000234296
ENSMUSP00000023504	ENSP00000336528
ENSMUSP00000027394	ENSP00000289528
ENSMUSP00000056502	ENSP00000217901
ENSMUSP00000029445	ENSP00000358548
ENSMUSP00000069259	ENSP00000376765
ENSMUSP00000021594	ENSP00000337353
ENSMUSP00000083341	ENSP00000436926
ENSMUSP00000079670	ENSP00000352252
ENSMUSP00000113854	ENSP00000351811
ENSMUSP00000039110	ENSP00000360034
ENSMUSP00000024206	ENSP00000229264
ENSMUSP00000020640	ENSP00000426909
ENSMUSP00000076155	ENSP00000261837
ENSMUSP00000103869	ENSP00000232564
ENSMUSP00000045369	ENSP00000332643
ENSMUSP00000056359	ENSP00000267973
ENSMUSP00000037255	ENSP00000282753
ENSMUSP00000099810	ENSP00000351407
ENSMUSP00000002848	ENSP00000263269
ENSMUSP00000111150	ENSP00000293677
ENSMUSP00000087184	ENSP00000382863
ENSMUSP00000033070	ENSP00000406037
ENSMUSP00000050933	ENSP00000342828
ENSMUSP00000082154	ENSP00000307479
ENSMUSP00000017443	ENSP00000361705
ENSMUSP00000001513	ENSP00000318697
ENSMUSP00000053097	ENSP00000305288
ENSMUSP00000025521	ENSP00000231656
ENSMUSP00000031650	ENSP00000370408
ENSMUSP00000062467	ENSP00000171111
ENSMUSP00000080716	ENSP00000267101
ENSMUSP00000002466	ENSP00000291442
ENSMUSP00000031131	ENSP00000284440
ENSMUSP00000045693	ENSP00000265136
ENSMUSP00000031167	ENSP00000312735
ENSMUSP00000032169	ENSP00000232744
ENSMUSP00000026119	ENSP00000383558
ENSMUSP00000036705	ENSP00000314499
ENSMUSP00000109915	ENSP00000378349
ENSMUSP00000128000	ENSP00000284776
ENSMUSP00000043042	ENSP00000242067
ENSMUSP00000028844	ENSP00000261854
ENSMUSP00000113767	ENSP00000377051
ENSMUSP00000075690	ENSP00000370115
ENSMUSP00000025724	ENSP00000370842
ENSMUSP00000070993	ENSP00000264335
ENSMUSP00000019109	ENSP00000248975
ENSMUSP00000051223	ENSP00000306330
ENSMUSP00000019924	ENSP00000357348
ENSMUSP00000085416	ENSP00000361066
ENSMUSP00000017458	ENSP00000269095
ENSMUSP00000099807	ENSP00000246548
ENSMUSP00000000188	ENSP00000261254
ENSMUSP00000040488	ENSP00000362082
ENSMUSP00000091495	ENSP00000227507
ENSMUSP00000087736	ENSP00000290378
ENSMUSP00000124282	ENSP00000363921
ENSMUSP00000042009	ENSP00000359727
ENSMUSP00000075721	ENSP00000265094
ENSMUSP00000111048	ENSP00000380256
ENSMUSP00000024959	ENSP00000238892
ENSMUSP00000034980	ENSP00000343741
ENSMUSP00000013773	ENSP00000264705
ENSMUSP00000034301	ENSP00000222256
ENSMUSP00000012104	ENSP00000261900
ENSMUSP00000123234	ENSP00000381098
ENSMUSP00000003947	ENSP00000319788
ENSMUSP00000033900	ENSP00000267328
ENSMUSP00000046188	ENSP00000304376
ENSMUSP00000132256	ENSP00000222305
ENSMUSP00000029653	ENSP00000265171
ENSMUSP00000022813	ENSP00000216733
ENSMUSP00000004036	ENSP00000226091
ENSMUSP00000050716	ENSP00000204961
ENSMUSP00000076115	ENSP00000328777
ENSMUSP00000061539	ENSP00000367203
ENSMUSP00000076093	ENSP00000356515
ENSMUSP00000060346	ENSP00000335304
ENSMUSP00000020329	ENSP00000275493
ENSMUSP00000020576	ENSP00000344635
ENSMUSP00000022573	ENSP00000367992
ENSMUSP00000070957	ENSP00000340896
ENSMUSP00000030642	ENSP00000362334
ENSMUSP00000029082	ENSP00000359910
ENSMUSP00000112563	ENSP00000462664
ENSMUSP00000049973	ENSP00000243706
ENSMUSP00000033008	ENSP00000414359
ENSMUSP00000021412	ENSP00000261479
ENSMUSP00000001712	ENSP00000263119
ENSMUSP00000021770	ENSP00000367197
ENSMUSP00000073664	ENSP00000350364
ENSMUSP00000017904	ENSP00000361562
ENSMUSP00000106724	ENSP00000276414
ENSMUSP00000027896	ENSP00000356587
ENSMUSP00000002532	ENSP00000333194
ENSMUSP00000058757	ENSP00000340944
ENSMUSP00000030400	ENSP00000380702
ENSMUSP00000001479	ENSP00000290158
ENSMUSP00000058596	ENSP00000376568
ENSMUSP00000003433	ENSP00000250896
ENSMUSP00000110986	ENSP00000350249
ENSMUSP00000044938	ENSP00000295600
ENSMUSP00000030556	ENSP00000248594
ENSMUSP00000034411	ENSP00000251871
ENSMUSP00000023151	ENSP00000232014
ENSMUSP00000002095	ENSP00000436786
ENSMUSP00000070070	ENSP00000206249
ENSMUSP00000068349	ENSP00000262094
ENSMUSP00000099488	ENSP00000412566
ENSMUSP00000118776	ENSP00000360644
ENSMUSP00000049176	ENSP00000360200
ENSMUSP00000095174	ENSP00000377789
ENSMUSP00000045770	ENSP00000363089
ENSMUSP00000030187	ENSP00000316029
ENSMUSP00000070560	ENSP00000061240
ENSMUSP00000034920	ENSP00000178640
ENSMUSP00000030427	ENSP00000395574
ENSMUSP00000106278	ENSP00000371475
ENSMUSP00000002914	ENSP00000301280
ENSMUSP00000105007	ENSP00000216267
ENSMUSP00000113040	ENSP00000353847
ENSMUSP00000021467	ENSP00000324729
ENSMUSP00000073402	ENSP00000363640
ENSMUSP00000136644	ENSP00000248450
ENSMUSP00000099652	ENSP00000281537
ENSMUSP00000021277	ENSP00000463999
ENSMUSP00000108008	ENSP00000263881
ENSMUSP00000019043	ENSP00000245414
ENSMUSP00000028857	ENSP00000313169
ENSMUSP00000065571	ENSP00000272430
ENSMUSP00000021784	ENSP00000370343
ENSMUSP00000034086	ENSP00000268459
ENSMUSP00000006786	ENSP00000353677
ENSMUSP00000023952	ENSP00000293308
ENSMUSP00000120320	ENSP00000353132
ENSMUSP00000032109	ENSP00000233331
ENSMUSP00000032916	ENSP00000219782
ENSMUSP00000019037	ENSP00000352835
ENSMUSP00000036270	ENSP00000359073
ENSMUSP00000054990	ENSP00000345464
ENSMUSP00000052103	ENSP00000375892
ENSMUSP00000042342	ENSP00000341289
ENSMUSP00000031314	ENSP00000295897
ENSMUSP00000106025	ENSP00000351490
ENSMUSP00000096755	ENSP00000323588
ENSMUSP00000115237	ENSP00000359567
ENSMUSP00000030723	ENSP00000362127
ENSMUSP00000077080	ENSP00000334329
ENSMUSP00000085299	ENSP00000363480
ENSMUSP00000072583	ENSP00000324948
ENSMUSP00000114968	ENSP00000424417
ENSMUSP00000016672	ENSP00000356070
ENSMUSP00000026013	ENSP00000340684
ENSMUSP00000036482	ENSP00000296564
ENSMUSP00000105183	ENSP00000457258
ENSMUSP00000022925	ENSP00000429931
ENSMUSP00000047333	ENSP00000323670
ENSMUSP00000088869	ENSP00000279477
ENSMUSP00000016143	ENSP00000335055
ENSMUSP00000051619	ENSP00000263025
ENSMUSP00000034621	ENSP00000292199
ENSMUSP00000067164	ENSP00000405574
ENSMUSP00000052033	ENSP00000348635
ENSMUSP00000063714	ENSP00000269321
ENSMUSP00000064892	ENSP00000349856
ENSMUSP00000118312	ENSP00000265140
ENSMUSP00000005509	ENSP00000222812
ENSMUSP00000025931	ENSP00000280154
ENSMUSP00000023268	ENSP00000349022
ENSMUSP00000001155	ENSP00000366244
ENSMUSP00000047105	ENSP00000266556
ENSMUSP00000052648	ENSP00000363822
ENSMUSP00000085022	ENSP00000405032
ENSMUSP00000075005	ENSP00000201586
ENSMUSP00000033075	ENSP00000317714
ENSMUSP00000088057	ENSP00000271308
ENSMUSP00000053842	ENSP00000262375
ENSMUSP00000034787	ENSP00000275034
ENSMUSP00000054637	ENSP00000349365
ENSMUSP00000104519	ENSP00000279101
ENSMUSP00000054426	ENSP00000248076
ENSMUSP00000071216	ENSP00000394757
ENSMUSP00000043146	ENSP00000329668
ENSMUSP00000018880	ENSP00000333982
ENSMUSP00000026449	ENSP00000228534
ENSMUSP00000025752	ENSP00000265465
ENSMUSP00000006856	ENSP00000368349
ENSMUSP00000065107	ENSP00000312455
ENSMUSP00000037609	ENSP00000340761
ENSMUSP00000034756	ENSP00000346032
ENSMUSP00000014370	ENSP00000356652
ENSMUSP00000019290	ENSP00000300105
ENSMUSP00000031740	ENSP00000308546
ENSMUSP00000063217	ENSP00000281419
ENSMUSP00000038144	ENSP00000364582
ENSMUSP00000058521	ENSP00000264110
ENSMUSP00000074708	ENSP00000215781
ENSMUSP00000099835	ENSP00000374455
ENSMUSP00000034554	ENSP00000376786
ENSMUSP00000005651	ENSP00000419970
ENSMUSP00000125993	ENSP00000416797
ENSMUSP00000034012	ENSP00000355279
ENSMUSP00000005019	ENSP00000357204
ENSMUSP00000038301	ENSP00000272224
ENSMUSP00000086640	ENSP00000325074
ENSMUSP00000075290	ENSP00000355599
ENSMUSP00000008528	ENSP00000350633
ENSMUSP00000008280	ENSP00000322909
ENSMUSP00000040150	ENSP00000362107
ENSMUSP00000033751	ENSP00000297904
ENSMUSP00000078746	ENSP00000365730
ENSMUSP00000114495	ENSP00000315615
ENSMUSP00000069004	ENSP00000467676
ENSMUSP00000030693	ENSP00000363115
ENSMUSP00000021285	ENSP00000305255
ENSMUSP00000041347	ENSP00000358865
ENSMUSP00000026027	ENSP00000358854
ENSMUSP00000034280	ENSP00000341681
ENSMUSP00000099889	ENSP00000360876
ENSMUSP00000016338	ENSP00000261465
ENSMUSP00000015800	ENSP00000227378
ENSMUSP00000026917	ENSP00000265371
ENSMUSP00000065568	ENSP00000223190
ENSMUSP00000051809	ENSP00000349959
ENSMUSP00000020490	ENSP00000296490
ENSMUSP00000084791	ENSP00000345917
ENSMUSP00000105000	ENSP00000377566
ENSMUSP00000025253	ENSP00000365175
ENSMUSP00000036898	ENSP00000309092
ENSMUSP00000053818	ENSP00000251337
ENSMUSP00000034085	ENSP00000378181
ENSMUSP00000077612	ENSP00000225698
ENSMUSP00000025541	ENSP00000286548
ENSMUSP00000006037	ENSP00000399968
ENSMUSP00000034198	ENSP00000262493
ENSMUSP00000027438	ENSP00000318195
ENSMUSP00000083611	ENSP00000233154
ENSMUSP00000030138	ENSP00000297990
ENSMUSP00000094084	ENSP00000380334
ENSMUSP00000005606	ENSP00000309591
ENSMUSP00000034834	ENSP00000320171
ENSMUSP00000109420	ENSP00000355014
ENSMUSP00000026259	ENSP00000359019
ENSMUSP00000047359	ENSP00000304169
ENSMUSP00000021968	ENSP00000265340
ENSMUSP00000096549	ENSP00000385269
ENSMUSP00000073803	ENSP00000272371
ENSMUSP00000013262	ENSP00000294753
ENSMUSP00000119356	ENSP00000160382
ENSMUSP00000048555	ENSP00000386104
ENSMUSP00000021201	ENSP00000225719
ENSMUSP00000026408	ENSP00000257868
ENSMUSP00000103965	ENSP00000264613
ENSMUSP00000025241	ENSP00000285398
ENSMUSP00000077913	ENSP00000419000
ENSMUSP00000109477	ENSP00000381891
ENSMUSP00000021559	ENSP00000451080
ENSMUSP00000028633	ENSP00000325527
ENSMUSP00000090563	ENSP00000437073
ENSMUSP00000005798	ENSP00000355217
ENSMUSP00000047774	ENSP00000367959
ENSMUSP00000099407	ENSP00000225916
ENSMUSP00000009138	ENSP00000229812
ENSMUSP00000034966	ENSP00000311430
ENSMUSP00000080538	ENSP00000348634
ENSMUSP00000052863	ENSP00000370340
ENSMUSP00000087756	ENSP00000379616
ENSMUSP00000027727	ENSP00000341785
ENSMUSP00000099748	ENSP00000312697
ENSMUSP00000016771	ENSP00000216181
ENSMUSP00000022894	ENSP00000309503
ENSMUSP00000027291	ENSP00000264972
ENSMUSP00000043462	ENSP00000277458
ENSMUSP00000083281	ENSP00000263270
ENSMUSP00000032309	ENSP00000228251
ENSMUSP00000063999	ENSP00000256707
ENSMUSP00000023467	ENSP00000314067
ENSMUSP00000024884	ENSP00000233057
ENSMUSP00000015664	ENSP00000271651
ENSMUSP00000029717	ENSP00000357153
ENSMUSP00000032968	ENSP00000437940
ENSMUSP00000044931	ENSP00000310842
ENSMUSP00000022531	ENSP00000372035
ENSMUSP00000074471	ENSP00000390651
ENSMUSP00000004051	ENSP00000226067
ENSMUSP00000024099	ENSP00000303211
ENSMUSP00000063812	ENSP00000410732
ENSMUSP00000066690	ENSP00000345147
ENSMUSP00000128645	ENSP00000331748
ENSMUSP00000023918	ENSP00000356468
ENSMUSP00000027269	ENSP00000260950
ENSMUSP00000059210	ENSP00000292599
ENSMUSP00000071521	ENSP00000343103
ENSMUSP00000021001	ENSP00000264710
ENSMUSP00000030088	ENSP00000363298
ENSMUSP00000069616	ENSP00000239938
ENSMUSP00000041053	ENSP00000242480
ENSMUSP00000065213	ENSP00000357668
ENSMUSP00000063839	ENSP00000260408
ENSMUSP00000101104	ENSP00000381768
ENSMUSP00000000542	ENSP00000373574
ENSMUSP00000126108	ENSP00000340361
ENSMUSP00000019117	ENSP00000355140
ENSMUSP00000099504	ENSP00000295225
ENSMUSP00000093077	ENSP00000362718
ENSMUSP00000001460	ENSP00000346762
ENSMUSP00000026225	ENSP00000210633
ENSMUSP00000101514	ENSP00000435412
ENSMUSP00000090277	ENSP00000233630
ENSMUSP00000038591	ENSP00000305133
ENSMUSP00000096248	ENSP00000249636
ENSMUSP00000123410	ENSP00000346015
ENSMUSP00000034947	ENSP00000300026
ENSMUSP00000030787	ENSP00000262187
ENSMUSP00000047571	ENSP00000283179
ENSMUSP00000005003	ENSP00000272163
ENSMUSP00000033182	ENSP00000299421
ENSMUSP00000112675	ENSP00000311857
ENSMUSP00000025025	ENSP00000239223
ENSMUSP00000027302	ENSP00000175756
ENSMUSP00000027898	ENSP00000355923
ENSMUSP00000031422	ENSP00000394394
ENSMUSP00000032961	ENSP00000379003
ENSMUSP00000035808	ENSP00000366249
ENSMUSP00000054072	ENSP00000370104
ENSMUSP00000033142	ENSP00000351342
ENSMUSP00000077899	ENSP00000369442
ENSMUSP00000029046	ENSP00000297258
ENSMUSP00000064366	ENSP00000264834
ENSMUSP00000028694	ENSP00000298838
ENSMUSP00000031171	ENSP00000265404
ENSMUSP00000116492	ENSP00000236957
ENSMUSP00000028829	ENSP00000299084
ENSMUSP00000044769	ENSP00000343313
ENSMUSP00000042602	ENSP00000216714
ENSMUSP00000091422	ENSP00000227758
ENSMUSP00000013949	ENSP00000263464
ENSMUSP00000099627	ENSP00000362948
ENSMUSP00000132906	ENSP00000265728
ENSMUSP00000027414	ENSP00000295641
ENSMUSP00000006851	ENSP00000350094
ENSMUSP00000015460	ENSP00000306190
ENSMUSP00000101907	ENSP00000223459
ENSMUSP00000124497	ENSP00000282030
ENSMUSP00000027277	ENSP00000351255
ENSMUSP00000120152	ENSP00000264657
ENSMUSP00000021813	ENSP00000253968
ENSMUSP00000063250	ENSP00000218089
ENSMUSP00000116205	ENSP00000372689
ENSMUSP00000081778	ENSP00000379847
ENSMUSP00000112314	ENSP00000281437
ENSMUSP00000082855	ENSP00000315768
ENSMUSP00000066743	ENSP00000354394
ENSMUSP00000100025	ENSP00000366746
ENSMUSP00000032570	ENSP00000270223
ENSMUSP00000073751	ENSP00000415481
ENSMUSP00000109633	ENSP00000354923
ENSMUSP00000084353	ENSP00000337289
ENSMUSP00000028964	ENSP00000348632
ENSMUSP00000023786	ENSP00000252252
ENSMUSP00000003912	ENSP00000320866
ENSMUSP00000113912	ENSP00000371512
ENSMUSP00000044653	ENSP00000310966
ENSMUSP00000026479	ENSP00000408910
ENSMUSP00000062576	ENSP00000356110
ENSMUSP00000061095	ENSP00000444293
ENSMUSP00000057096	ENSP00000261590
ENSMUSP00000099930	ENSP00000361777
ENSMUSP00000050191	ENSP00000365576
ENSMUSP00000074658	ENSP00000295137
ENSMUSP00000079309	ENSP00000247219
ENSMUSP00000083250	ENSP00000384018
ENSMUSP00000037045	ENSP00000267377
ENSMUSP00000068578	ENSP00000350198
ENSMUSP00000051085	ENSP00000293897
ENSMUSP00000043279	ENSP00000403397
ENSMUSP00000062496	ENSP00000300213
ENSMUSP00000108131	ENSP00000204726
ENSMUSP00000091317	ENSP00000336831
ENSMUSP00000033866	ENSP00000367299
ENSMUSP00000095254	ENSP00000375857
ENSMUSP00000025856	ENSP00000294304
ENSMUSP00000032396	ENSP00000346442
ENSMUSP00000044004	ENSP00000243077
ENSMUSP00000032322	ENSP00000261349
ENSMUSP00000054914	ENSP00000233954
ENSMUSP00000014917	ENSP00000355718
ENSMUSP00000026881	ENSP00000284818
ENSMUSP00000031333	ENSP00000445162
ENSMUSP00000027137	ENSP00000261024
ENSMUSP00000109874	ENSP00000057513
ENSMUSP00000028132	ENSP00000300417
ENSMUSP00000099491	ENSP00000348307
ENSMUSP00000015920	ENSP00000342343
ENSMUSP00000048457	ENSP00000361092
ENSMUSP00000107857	ENSP00000343633
ENSMUSP00000006828	ENSP00000221891
ENSMUSP00000099038	ENSP00000401277
ENSMUSP00000075377	ENSP00000387641
ENSMUSP00000021513	ENSP00000238558
ENSMUSP00000006137	ENSP00000246957
ENSMUSP00000066864	ENSP00000361336
ENSMUSP00000090335	ENSP00000347294
ENSMUSP00000101759	ENSP00000340279
ENSMUSP00000021930	ENSP00000316905
ENSMUSP00000080419	ENSP00000320147
ENSMUSP00000102906	ENSP00000404658
ENSMUSP00000023538	ENSP00000353452
ENSMUSP00000022791	ENSP00000281623
ENSMUSP00000064202	ENSP00000328977
ENSMUSP00000002809	ENSP00000413152
ENSMUSP00000033938	ENSP00000265421
ENSMUSP00000039776	ENSP00000406046
ENSMUSP00000099986	ENSP00000386105
ENSMUSP00000022952	ENSP00000297565
ENSMUSP00000043790	ENSP00000376827
ENSMUSP00000099513	ENSP00000320239
ENSMUSP00000067684	ENSP00000355026
ENSMUSP00000095542	ENSP00000345193
ENSMUSP00000005507	ENSP00000320886
ENSMUSP00000031423	ENSP00000440045
ENSMUSP00000015892	ENSP00000315379
ENSMUSP00000025704	ENSP00000275517
ENSMUSP00000027863	ENSP00000356789
